2019-07-01 15:07:09 status installed libasan2:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 configure liblsan0:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:09 status unpacked liblsan0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status half-configured liblsan0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status installed liblsan0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 configure libtsan0:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:10 status unpacked libtsan0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status half-configured libtsan0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status installed libtsan0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 configure libubsan0:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:10 status unpacked libubsan0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status half-configured libubsan0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status installed libubsan0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 configure libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:10 status unpacked libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status half-configured libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status installed libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 configure libmpx0:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:10 status unpacked libmpx0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status half-configured libmpx0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status installed libmpx0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 configure libquadmath0:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:10 status unpacked libquadmath0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:10 status half-configured libquadmath0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 status installed libquadmath0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 configure libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:11 status unpacked libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 status half-configured libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 status installed libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 configure gcc-5:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:11 status unpacked gcc-5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 status half-configured gcc-5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 status installed gcc-5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 configure libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:11 status unpacked libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 status half-configured libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 status installed libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 configure g++-5:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:11 status unpacked g++-5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 status half-configured g++-5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 status installed g++-5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:11 configure libapr1:amd64 1.5.2-3 <none>
2019-07-01 15:07:11 status unpacked libapr1:amd64 1.5.2-3
2019-07-01 15:07:11 status half-configured libapr1:amd64 1.5.2-3
2019-07-01 15:07:11 status installed libapr1:amd64 1.5.2-3
2019-07-01 15:07:12 configure libaprutil1:amd64 1.5.4-1build1 <none>
2019-07-01 15:07:12 status unpacked libaprutil1:amd64 1.5.4-1build1
2019-07-01 15:07:12 status half-configured libaprutil1:amd64 1.5.4-1build1
2019-07-01 15:07:12 status installed libaprutil1:amd64 1.5.4-1build1
2019-07-01 15:07:12 configure libaprutil1-dbd-sqlite3:amd64 1.5.4-1build1 <none>
2019-07-01 15:07:12 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.4-1build1
2019-07-01 15:07:12 status half-configured libaprutil1-dbd-sqlite3:amd64 1.5.4-1build1
2019-07-01 15:07:12 status installed libaprutil1-dbd-sqlite3:amd64 1.5.4-1build1
2019-07-01 15:07:12 configure libaprutil1-ldap:amd64 1.5.4-1build1 <none>
2019-07-01 15:07:12 status unpacked libaprutil1-ldap:amd64 1.5.4-1build1
2019-07-01 15:07:12 status half-configured libaprutil1-ldap:amd64 1.5.4-1build1
2019-07-01 15:07:12 status installed libaprutil1-ldap:amd64 1.5.4-1build1
2019-07-01 15:07:12 configure liblua5.1-0:amd64 5.1.5-8ubuntu1 <none>
2019-07-01 15:07:12 status unpacked liblua5.1-0:amd64 5.1.5-8ubuntu1
2019-07-01 15:07:12 status half-configured liblua5.1-0:amd64 5.1.5-8ubuntu1
2019-07-01 15:07:12 status installed liblua5.1-0:amd64 5.1.5-8ubuntu1
2019-07-01 15:07:12 configure apache2-bin:amd64 2.4.18-2ubuntu3.10 <none>
2019-07-01 15:07:12 status unpacked apache2-bin:amd64 2.4.18-2ubuntu3.10
2019-07-01 15:07:12 status half-configured apache2-bin:amd64 2.4.18-2ubuntu3.10
2019-07-01 15:07:12 status installed apache2-bin:amd64 2.4.18-2ubuntu3.10
2019-07-01 15:07:12 configure apache2-utils:amd64 2.4.18-2ubuntu3.10 <none>
2019-07-01 15:07:12 status unpacked apache2-utils:amd64 2.4.18-2ubuntu3.10
2019-07-01 15:07:12 status half-configured apache2-utils:amd64 2.4.18-2ubuntu3.10
2019-07-01 15:07:12 status installed apache2-utils:amd64 2.4.18-2ubuntu3.10
2019-07-01 15:07:13 configure apache2-data:all 2.4.18-2ubuntu3.10 <none>
2019-07-01 15:07:13 status unpacked apache2-data:all 2.4.18-2ubuntu3.10
2019-07-01 15:07:13 status half-configured apache2-data:all 2.4.18-2ubuntu3.10
2019-07-01 15:07:13 status installed apache2-data:all 2.4.18-2ubuntu3.10
2019-07-01 15:07:13 configure apache2:amd64 2.4.18-2ubuntu3.10 <none>
2019-07-01 15:07:13 status unpacked apache2:amd64 2.4.18-2ubuntu3.10
2019-07-01 15:07:13 status unpacked apache2:amd64 2.4.18-2ubuntu3.10
2019-07-01 15:07:13 status unpacked apache2:amd64 2.4.18-2ubuntu3.10
